company,kmeans_cluster_tfidf,kmeans_cluster_sbert,hierarchical_cluster_sbert,degree_centrality,betweenness_centrality
ABB,3,0,4,0.7878787878787878,0.0031683978705715032
AIRBUS,3,0,4,0.7575757575757576,0.002471876738195108
APPLE,1,1,0,0.8181818181818182,0.007711018735593038
BASF,3,3,0,0.0,0.0
BAYER,2,4,3,0.030303030303030304,0.0
BMW,3,0,4,0.5151515151515151,0.0
BOSCH,3,0,4,0.8181818181818182,0.004311987778351298
CANON,1,3,0,0.7575757575757576,0.0018783520186383964
ERICSSON,0,1,1,0.6666666666666667,0.003528212521053079
GENERAL ELECTRIC,3,0,4,0.7272727272727273,0.0017969896735054113
GOOGLE,2,1,1,0.7878787878787878,0.016000027735708848
HITACHI,1,0,4,0.8181818181818182,0.004311987778351298
HONDA,1,0,4,0.6363636363636364,0.0006925686387438193
HONEYWELL,2,1,4,0.8484848484848485,0.018200876667240188
HUAWEI,1,0,4,0.7272727272727273,0.0020297807078637833
IBM,2,1,1,0.8484848484848485,0.0814719414548491
INFINEON,1,3,0,0.7575757575757576,0.0021688924286641003
INTEL,2,1,1,0.7575757575757576,0.004952047937729052
LG ELECTRONICS,1,3,0,0.8484848484848485,0.01027188436324788
MICROSOFT,2,1,1,0.7575757575757576,0.014751781228174417
NOKIA,0,1,1,0.6666666666666667,0.0032382091592617914
NOVARTIS,4,2,2,0.0,0.0
PANASONIC,1,3,0,0.8181818181818182,0.004311987778351298
PHILIPS,2,4,3,0.6363636363636364,0.04171301306717975
QUALCOMM,0,1,1,0.2727272727272727,0.0
ROCHE,2,4,3,0.09090909090909091,0.05681818181818182
SAMSUNG,1,3,0,0.8181818181818182,0.004311987778351298
SAP,2,1,1,0.12121212121212122,0.0
SCHNEIDER ELECTRIC,3,0,4,0.8181818181818182,0.004311987778351298
SIEMENS,3,0,4,0.8181818181818182,0.004311987778351298
SONY,1,3,0,0.8484848484848485,0.01027188436324788
TOSHIBA,1,3,0,0.8181818181818182,0.004311987778351298
TOYOTA,1,0,4,0.7575757575757576,0.0024935108058818066
VOLKSWAGEN,3,0,4,0.6060606060606061,0.000474516405888955
