,ABB,AIRBUS,APPLE,BASF,BAYER,BMW,BOSCH,CANON,ERICSSON,GENERAL ELECTRIC,GOOGLE,HITACHI,HONDA,HONEYWELL,HUAWEI,IBM,INFINEON,INTEL,LG ELECTRONICS,MICROSOFT,NOKIA,NOVARTIS,PANASONIC,PHILIPS,QUALCOMM,ROCHE,SAMSUNG,SAP,SCHNEIDER ELECTRIC,SIEMENS,SONY,TOSHIBA,TOYOTA,VOLKSWAGEN
ABB,1.0000000000000002,0.8556336332760515,0.8385839422810366,0.7155901629061951,0.5645439253817915,0.8682764770937129,0.9038717950252158,0.8091042725088352,0.8261502237124354,0.8842900144355659,0.8464546412248493,0.9169480808027779,0.8549274333271724,0.89579710574499,0.8985826468556546,0.8758726949080635,0.8196254072905715,0.8306011676709957,0.8376196651144555,0.8487247720183417,0.8088555276684088,0.5482512039880276,0.872121251816653,0.7925416661544519,0.7245652164352692,0.7247979846806819,0.8503285466629322,0.7637055825072746,0.950896072268002,0.9451177939290945,0.8560517765933804,0.8681933341371594,0.87386264687591,0.8687105105289739
AIRBUS,0.8556336332760515,1.0000000000000002,0.8209085061904866,0.690437862801278,0.5380143676527961,0.8221701875998582,0.8821741911283676,0.8109154356517936,0.8041644636148504,0.8968733803967561,0.8067017029169226,0.8593517939843851,0.8340211173384955,0.8632190940426707,0.8621312337881256,0.8180906597477564,0.827911780111948,0.8061208799853163,0.837815589394906,0.8123862548981002,0.7838389186332003,0.5764638105768016,0.825113623657085,0.760891214955447,0.7170233422642236,0.6490852363384547,0.8329648612816298,0.6837399742522928,0.865416796885363,0.8772875751533171,0.8362068601064638,0.8425384974869112,0.8611885055219084,0.8256324872276913
APPLE,0.8385839422810366,0.8209085061904866,1.0,0.6888493966651257,0.5877791811611234,0.7935015360672228,0.8420886245748738,0.8530764678371686,0.8537502869981983,0.8133177158711415,0.9313446019414325,0.865576823389566,0.8305523817799914,0.8811973654704204,0.841322260165456,0.8933422063119203,0.8614472852977153,0.8962738298794416,0.9091449987487885,0.894938005746889,0.8715348462032915,0.5541915226439206,0.8859898693978224,0.8461813500506059,0.8610085533398695,0.7104095138869388,0.9389166464469663,0.7250983006806695,0.8602335561737126,0.8641803224227287,0.9147021489774889,0.887474942299062,0.8516412504057332,0.8029757563991927
BASF,0.7155901629061951,0.690437862801278,0.6888493966651257,0.9999999999999999,0.6460122719318698,0.6690128698948552,0.7464450259969118,0.7595312358917301,0.6708617430259279,0.7026466994165499,0.7064696134140741,0.7232512052268492,0.6833930259631198,0.7295432224836178,0.6739872715446107,0.7510507880433328,0.7191354116078024,0.6882764327172842,0.6755477831957406,0.6856754444190181,0.6695403566852707,0.4462505990416238,0.7656160882404581,0.6446136363418098,0.5699952026285544,0.6509274704548843,0.7177754351808122,0.6460122868130022,0.6963640694375054,0.742092858860657,0.7275837553911969,0.7671879356478477,0.7193068710975787,0.6821494897145202
BAYER,0.5645439253817915,0.5380143676527961,0.5877791811611234,0.6460122719318698,1.0000000000000002,0.5185323058183808,0.6312072997787536,0.617708176137842,0.6118823534032299,0.5768338352808906,0.6332981447946003,0.5996058144635432,0.559914005091956,0.6584285973126707,0.5121254223099589,0.6816859686777856,0.5722873177123129,0.6428540731672485,0.5375242447848261,0.6534071384577467,0.6196153233801551,0.3334102019389552,0.6043644410624442,0.7245914640388833,0.569726366309474,0.8155802008476802,0.5577912686976623,0.6753470424348186,0.5842816751421596,0.579433851849913,0.647169469786505,0.5994138624752336,0.5996286547270018,0.5529700905500652
BMW,0.8682764770937129,0.8221701875998582,0.7935015360672228,0.6690128698948552,0.5185323058183808,1.0000000000000004,0.904124842657179,0.7782704916930476,0.7015411996848641,0.8122732721662933,0.7517843439543798,0.8931168658536061,0.9369279659013148,0.8430306182169207,0.8896805258861268,0.7852992569282653,0.7961421347830515,0.7449033772852479,0.8249803071653079,0.7298181926696379,0.7241603178736853,0.5550742965451535,0.8333569341514084,0.718569964286714,0.6427027237615661,0.6298591171206397,0.8402661871426416,0.6383587547602527,0.852561223603121,0.9212864019102147,0.8140963130715582,0.8270027514734939,0.9229669764353619,0.963648997791086
BOSCH,0.9038717950252158,0.8821741911283676,0.8420886245748738,0.7464450259969118,0.6312072997787536,0.904124842657179,0.9999999999999998,0.8314890337487064,0.8353135219845689,0.8900219963871832,0.8359379907335949,0.9197762472473989,0.9097907456254679,0.8892648232169045,0.8900240083588151,0.8695312856787947,0.8647669813577721,0.8406106997012879,0.8480167566360193,0.8384224100253641,0.8213249020136542,0.5914158174170991,0.8781563816820747,0.8131303108600936,0.7503959255354624,0.7410103840356892,0.8584448583985329,0.7325714701924928,0.8930036819144997,0.9363615706293538,0.8670977474193997,0.8800290836091467,0.9238904460459074,0.9235238725489396
CANON,0.8091042725088352,0.8109154356517936,0.8530764678371686,0.7595312358917301,0.617708176137842,0.7782704916930476,0.8314890337487064,0.9999999999999996,0.8103603660615661,0.8025261866215418,0.8401226223176312,0.8850332502704252,0.8551198916092039,0.8344663531176817,0.8320864088116731,0.8326699777810507,0.8554212396613601,0.8580694323228166,0.8709921744241726,0.8357440346798902,0.8413033814100914,0.5142067853061238,0.9238334213494792,0.8331747425280774,0.7781051551952385,0.6993427691657153,0.876861938117265,0.6947087886647869,0.8434292296747408,0.8414544932443214,0.9274295226158906,0.9251417783146094,0.8948049050380777,0.7627820316089274
ERICSSON,0.8261502237124354,0.8041644636148504,0.8537502869981983,0.6708617430259279,0.6118823534032299,0.7015411996848641,0.8353135219845689,0.8103603660615661,0.9999999999999998,0.7758146314239076,0.8797229691412736,0.805828935759982,0.7271085264261892,0.8428608233784004,0.8017653917687231,0.8596766099163717,0.7817221877181841,0.8927734041325044,0.8430100035314603,0.898834646143263,0.9261609497442117,0.5165339694897326,0.8026333007514342,0.8716552179752505,0.9027134207053364,0.7320650803196574,0.8127284120461391,0.7663254396096374,0.8515269353626664,0.8258815693513781,0.855428978701388,0.8229848161350576,0.7692742779257362,0.7201956963598726
GENERAL ELECTRIC,0.8842900144355659,0.8968733803967561,0.8133177158711415,0.7026466994165499,0.5768338352808906,0.8122732721662933,0.8900219963871832,0.8025261866215418,0.7758146314239076,1.0000000000000007,0.8135622951099749,0.8813363840156367,0.8403271777987769,0.865321685548093,0.8479838007160669,0.8312837186364166,0.8273754001576448,0.8253590238641931,0.8183738833902351,0.8265381619758176,0.764494141148599,0.5671331029311345,0.8258645237269853,0.7386792992089368,0.7066962105641004,0.6600669155615074,0.8245055540811084,0.7192697710484457,0.8886777748137308,0.8721048612158798,0.8339066966013107,0.854398061933247,0.8695368517998734,0.8029838299575489
GOOGLE,0.8464546412248493,0.8067017029169226,0.9313446019414325,0.7064696134140741,0.6332981447946003,0.7517843439543798,0.8359379907335949,0.8401226223176312,0.8797229691412736,0.8135622951099749,1.0,0.8530365871956773,0.7951668555661358,0.8817661301239195,0.828158830915992,0.9223950991036278,0.8366319232015853,0.9193205513637532,0.84215984713481,0.9477723446796176,0.8720595003417322,0.540559701360933,0.8446483443508679,0.8603371816141883,0.8507114409086982,0.7630270655856155,0.874864935953971,0.8310782136850703,0.8543978336849001,0.8447752950194813,0.9038100079178932,0.8509587631748298,0.8222714460667513,0.7705077404945415
HITACHI,0.9169480808027779,0.8593517939843851,0.865576823389566,0.7232512052268492,0.5996058144635432,0.8931168658536061,0.9197762472473989,0.8850332502704252,0.805828935759982,0.8813363840156367,0.8530365871956773,0.9999999999999998,0.9370033663557396,0.9026981717908406,0.9139469368104329,0.8701421542472496,0.8639605283263602,0.8416009910017009,0.8720290618470871,0.8530990402411904,0.8079752341646926,0.5585513471944135,0.9296512582081311,0.8150779076788814,0.7382141855433745,0.7186673003419702,0.88838815251879,0.7470941407578717,0.91060480074234,0.9292584657801204,0.9038512791731059,0.9408187338485663,0.9537026240527022,0.8933894265444977
HONDA,0.8549274333271724,0.8340211173384955,0.8305523817799914,0.6833930259631198,0.559914005091956,0.9369279659013148,0.9097907456254679,0.8551198916092039,0.7271085264261892,0.8403271777987769,0.7951668555661358,0.9370033663557396,1.0,0.8722221054843011,0.8750574932167545,0.8174038845097433,0.8423751650911243,0.7870887977249335,0.8496969277140701,0.7837431432860542,0.7591937551643644,0.5882690202132057,0.8989134368282028,0.7696138623657696,0.6780345650210631,0.6761452275216789,0.8712390152978688,0.6670197195175787,0.8604643519233504,0.8985257745084461,0.8791108510998119,0.8910237466983568,0.9766767715038758,0.9312749073495461
HONEYWELL,0.89579710574499,0.8632190940426707,0.8811973654704204,0.7295432224836178,0.6584285973126707,0.8430306182169207,0.8892648232169045,0.8344663531176817,0.8428608233784004,0.865321685548093,0.8817661301239195,0.9026981717908406,0.8722221054843011,1.0000000000000004,0.8515243287613923,0.9118572759402488,0.8714073175222323,0.8735057930185588,0.8460168485824885,0.8957198981344646,0.8496094924321707,0.5953697486082018,0.8671797214706084,0.8424196116854045,0.777133932790244,0.7751343085186011,0.863119121637574,0.8070390475655966,0.9130876589135468,0.893056505666641,0.8935146947253295,0.8808783427195039,0.8862951521662668,0.8531582653000884
HUAWEI,0.8985826468556546,0.8621312337881256,0.841322260165456,0.6739872715446107,0.5121254223099589,0.8896805258861268,0.8900240083588151,0.8320864088116731,0.8017653917687231,0.8479838007160669,0.828158830915992,0.9139469368104329,0.8750574932167545,0.8515243287613923,1.0000000000000002,0.8085602588621627,0.8263683007457111,0.8241309598257859,0.8630637298175545,0.7999632309595612,0.7746369448462593,0.546718131920695,0.8634554183184092,0.7777667706088226,0.7351454191072759,0.6533203077363553,0.8701150374907958,0.6762549250516855,0.8940222105693223,0.930142230714305,0.8636640166987356,0.8882142216841867,0.8825116540584007,0.882044344076379
