,ABB,AIRBUS,APPLE,BASF,BAYER,BMW,BOSCH,CANON,ERICSSON,GENERAL ELECTRIC,GOOGLE,HITACHI,HONDA,HONEYWELL,HUAWEI,IBM,INFINEON,INTEL,LG ELECTRONICS,MICROSOFT,NOKIA,NOVARTIS,PANASONIC,PHILIPS,QUALCOMM,ROCHE,SAMSUNG,SAP,SCHNEIDER ELECTRIC,SIEMENS,SONY,TOSHIBA,TOYOTA,VOLKSWAGEN
ABB,1.0000000000000002,0.5463549772301842,0.4424688861969547,0.4059571528532223,0.25248670743996676,0.5524134638673618,0.6108191996127944,0.4078708343299319,0.47268313739810974,0.5323841028353516,0.47995820946713263,0.532993240900817,0.48723083305875187,0.5365603120831252,0.48033546064856847,0.4841986280796106,0.488561396348001,0.40363467278133935,0.44100313824765586,0.5037831903962662,0.424065161034925,0.1965874276234154,0.46386251054158695,0.5246205348127385,0.33888573956406726,0.48473243294367996,0.46358140704705886,0.4189223599823433,0.6484916062893908,0.6444703819183394,0.5159608316683285,0.45942377238642645,0.5024237883438726,0.5610030295685331
AIRBUS,0.5463549772301842,1.0000000000000002,0.42275002097183545,0.3445229002152461,0.17736917966937193,0.504445176852666,0.5722368966807351,0.37862008917392465,0.41572117851015816,0.5425909789712441,0.40289070575225605,0.4739590191067297,0.446422567726793,0.4680621499374412,0.4288266647505587,0.403565917107954,0.43774635814186835,0.3513643683334092,0.4177590603065832,0.43320794114955125,0.3742408028072534,0.20309623531280774,0.39315867515041536,0.44383410775616544,0.31020188470161714,0.3450139102191791,0.43452440021936045,0.30962939564684555,0.5156165926939423,0.5612087994852887,0.4382517091132874,0.42803179236992167,0.46050226758615004,0.4898443721397772
APPLE,0.4424688861969547,0.42275002097183545,0.9999999999999998,0.32163726574230067,0.2009504244218982,0.4330354080426089,0.422305222274492,0.3935451076776921,0.47916241922833414,0.43238262423954466,0.6281442159068301,0.44029207317111807,0.4046038304188289,0.5540737984586868,0.37158319599146317,0.5312249235741943,0.49727188375764325,0.5348465557950891,0.4846763653582566,0.5766933488575106,0.47320920914592246,0.17106925820115443,0.43035417551517835,0.512715786246469,0.5298039219048108,0.37356342212849836,0.6230122388391742,0.42259036809323,0.506956254717563,0.44715361062028425,0.5400906515453594,0.43844433137847666,0.43863200153466325,0.3866638963874541
BASF,0.4059571528532223,0.3445229002152461,0.32163726574230067,1.0000000000000002,0.2624805133758001,0.37740130802852095,0.4232551378753741,0.33345234077377467,0.34086479495413285,0.3092820051581552,0.36258978538611714,0.321718712364127,0.3147337448676193,0.3860637286517981,0.30631291487730355,0.4101666461207625,0.31584517555029584,0.29113460282172793,0.28804405553305773,0.3433074608813341,0.30630982327301437,0.11061656028256112,0.3811932771322249,0.35924561852758324,0.24108778544993278,0.3917616419134311,0.3543825076353675,0.33210647531809967,0.3735586972202865,0.4351223483931614,0.33705166094932554,0.35241841287826864,0.3156880078724683,0.37284202341236633
BAYER,0.25248670743996676,0.17736917966937193,0.2009504244218982,0.2624805133758001,1.0000000000000007,0.21668242938099447,0.3064822388990656,0.17703608324406309,0.2278791533728796,0.20967758932582783,0.2676106026120084,0.22365813298968404,0.1760660040136625,0.2665815617327359,0.16134999709182096,0.3490628658679019,0.15203582229196283,0.25552186003687605,0.166215546611749,0.28506549419616317,0.33392549827623275,0.060471217513767835,0.18508802307063102,0.3193556753649782,0.19804794658331815,0.40166090427392603,0.18649886351916722,0.3605801005048195,0.2138825327685173,0.25434393748858486,0.23561442609844463,0.17782512716741067,0.19676986900886353,0.2295427525543867
BMW,0.5524134638673618,0.504445176852666,0.4330354080426089,0.37740130802852095,0.21668242938099447,1.0000000000000009,0.6424435182461216,0.41167748274065114,0.37701432845553673,0.4050728167033798,0.4001148213693989,0.5230008883047371,0.6007613222785726,0.478310083444471,0.576891388185816,0.43365420979339525,0.4461627378110843,0.3557236939410717,0.48038431460173564,0.40354174183375224,0.3659744104651693,0.1876931490514154,0.43665706014406824,0.4574319609978679,0.28193383832360724,0.35149301747720163,0.5250906948826431,0.3337403592233649,0.5350808957268501,0.6876914163775625,0.49146872911484324,0.4388229530858012,0.5925459781409103,0.7680608400408964
BOSCH,0.6108191996127944,0.5722368966807351,0.422305222274492,0.4232551378753741,0.3064822388990656,0.6424435182461216,1.0000000000000007,0.4141440364991639,0.47667051002169425,0.5082130316620226,0.44298285214647914,0.5232490229213917,0.5393050906670878,0.49803264753078413,0.4614422279226396,0.4902057126908296,0.483891682142088,0.38829324438483026,0.4551795945599297,0.4756537591992521,0.4296732437310673,0.20287814185562583,0.4692556605730008,0.5207531601239989,0.3433074237984948,0.45800224009442886,0.46551555252226284,0.39703808104697147,0.5519152475571192,0.694109591414803,0.49099158601040527,0.45543118322308834,0.5399288438837339,0.6761183419699859
CANON,0.4078708343299319,0.37862008917392465,0.3935451076776921,0.33345234077377467,0.17703608324406309,0.41167748274065114,0.4141440364991639,1.0,0.4002746889824588,0.3679834877832316,0.4329444191512562,0.5972359587972386,0.5731428840863512,0.39387811549988766,0.4163467564661667,0.398649432284975,0.4178814433098926,0.4172139767309365,0.4471977216618248,0.4121675866931888,0.43268092871633335,0.12006405258973926,0.627644555968316,0.4700738220703695,0.33174090040672244,0.362163523905134,0.4921929779014294,0.3365834660739586,0.46727799671806386,0.4592004546713806,0.6120616136046491,0.6373573115965484,0.6276268156837943,0.3854182774506252
ERICSSON,0.47268313739810974,0.41572117851015816,0.47916241922833414,0.34086479495413285,0.2278791533728796,0.37701432845553673,0.47667051002169425,0.4002746889824588,1.0000000000000004,0.4053905026921743,0.53003419711806,0.3932792531351574,0.36063604359314794,0.4816683079608176,0.4043007812736971,0.5227654724137003,0.39880384428704135,0.5085082462332308,0.4220513721122683,0.5525888062374082,0.6121882642503952,0.11645035634618933,0.37776771283226546,0.5104337756932589,0.5555472598064438,0.44061862851944616,0.45043690661523667,0.45367573748181084,0.48280337246840294,0.4663183710810549,0.5009488248531688,0.3955695593538045,0.37445220542111796,0.3690529402605047
GENERAL ELECTRIC,0.5323841028353516,0.5425909789712441,0.43238262423954466,0.3092820051581552,0.20967758932582783,0.4050728167033798,0.5082130316620226,0.3679834877832316,0.4053905026921743,1.0000000000000009,0.4560230994619008,0.46852830297236236,0.4348487042682379,0.5178937179565302,0.41581101592373426,0.44342617363129344,0.4468363882354212,0.41662173625388815,0.3863988263443893,0.5046160265266235,0.3815200305523711,0.17495757610682933,0.3878187544098919,0.4289878292787655,0.3608051428664458,0.3668489187482602,0.4341631705492218,0.37454574673517954,0.5217686469969284,0.46838636150833657,0.4338092244290425,0.4287815407402845,0.45582289019739697,0.38874006247534365
