company,0,1,2,3,4,5,6,7
ABB,29,30,1,24,18,4,11,15
AIRBUS,38,45,1,12,7,4,9,12
APPLE,34,24,7,20,0,9,18,7
BASF,7,1,29,42,0,8,0,2
BAYER,0,2,1,24,1,1,4,0
BMW,21,31,2,6,38,3,5,25
BOSCH,18,23,7,40,23,2,9,22
CANON,24,6,18,30,1,10,9,32
ERICSSON,43,1,0,25,2,5,5,1
GENERAL ELECTRIC,23,36,1,23,16,1,19,11
GOOGLE,35,13,4,36,2,12,7,1
HITACHI,31,18,2,24,22,7,3,35
HONDA,12,18,7,18,23,9,2,53
HONEYWELL,26,22,2,16,5,14,38,1
HUAWEI,37,30,6,12,47,1,4,5
IBM,25,10,11,41,9,15,7,4
INFINEON,17,16,8,12,1,3,31,12
INTEL,29,6,1,21,3,1,30,1
LG ELECTRONICS,36,39,1,8,7,30,4,12
MICROSOFT,31,17,0,34,1,4,15,3
NOKIA,49,0,0,20,1,2,11,0
NOVARTIS,1,1,0,0,0,0,0,0
PANASONIC,26,7,26,24,6,5,6,41
PHILIPS,26,5,0,34,0,2,19,2
QUALCOMM,46,0,0,19,1,5,14,1
ROCHE,11,2,0,33,0,2,6,0
SAMSUNG,20,33,10,12,8,18,25,9
SAP,22,0,0,35,1,3,6,0
SCHNEIDER ELECTRIC,32,8,0,15,10,4,12,16
SIEMENS,27,20,8,20,24,12,4,24
SONY,33,13,2,23,5,13,8,17
TOSHIBA,29,11,20,24,8,5,12,34
TOYOTA,15,25,6,21,11,10,4,53
VOLKSWAGEN,18,30,8,22,30,3,0,30
